项目名称,链接,描述,Stars,语言,Forks,最后更新
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,458813,Markdown,43009,2026-01-21T02:32:00Z
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",436108,TypeScript,43139,2026-01-21T02:26:51Z
free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,380803,Python,65760,2026-01-21T02:31:25Z
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",347608,TypeScript,43640,2026-01-21T01:53:17Z
coding-interview-university,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,336001,Unknown,81578,2026-01-21T02:31:31Z
system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,332787,Python,54100,2026-01-21T02:24:30Z
awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",279169,Python,27081,2026-01-21T02:15:59Z
Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,217006,Python,49976,2026-01-21T02:26:31Z
the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",203096,Unknown,12312,2026-01-21T02:21:29Z
CS-Notes,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,183482,Unknown,51240,2026-01-20T20:09:31Z
Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,177777,Jupyter Notebook,55270,2026-01-21T02:26:11Z
n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",170300,TypeScript,53869,2026-01-21T02:30:48Z
transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",155451,Python,31801,2026-01-21T02:02:07Z
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",140668,Python,11059,2026-01-21T02:26:19Z
dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,126669,TypeScript,19728,2026-01-21T02:31:16Z
30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,126405,JavaScript,12404,2026-01-21T01:46:56Z
langchain,https://github.com/langchain-ai/langchain,🦜🔗 The platform for reliable agents.,124685,Python,20525,2026-01-21T02:30:40Z
hello-algo,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现",121716,Java,14792,2026-01-21T02:24:50Z
open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",121308,Python,17112,2026-01-21T02:31:19Z
free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,116186,Unknown,28355,2026-01-21T02:27:42Z
excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,114833,TypeScript,12215,2026-01-21T02:15:36Z
d3,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",112190,Shell,22839,2026-01-21T02:11:43Z
system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",109808,Unknown,28714,2026-01-21T02:28:49Z
rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",106054,Rust,15689,2026-01-21T02:27:33Z
GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,105613,Java,13477,2026-01-21T02:30:44Z
generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ",105408,Jupyter Notebook,56338,2026-01-21T02:26:17Z
Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",105038,Unknown,9910,2026-01-21T02:20:34Z
frp,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,103665,Go,14812,2026-01-21T02:08:18Z
ComfyUI,https://github.com/Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",100896,Python,11445,2026-01-21T02:31:10Z
HowToCook,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,97142,Dockerfile,10769,2026-01-21T02:30:48Z
supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",96488,TypeScript,11306,2026-01-21T02:31:48Z
v2rayN,https://github.com/2dust/v2rayN,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",95037,C#,14063,2026-01-21T02:05:03Z
fastapi,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",94290,Python,8555,2026-01-21T02:31:43Z
java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,93643,Java,27374,2026-01-21T01:01:37Z
whisper,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,93471,Python,11667,2026-01-21T01:47:19Z
awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",88388,Python,12669,2026-01-21T02:31:36Z
NextChat,https://github.com/ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,87105,TypeScript,60533,2026-01-21T01:56:48Z
hugo,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.,86159,Go,8174,2026-01-20T23:39:05Z
core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,84303,Python,36560,2026-01-20T23:59:58Z
LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",83493,Jupyter Notebook,12565,2026-01-21T02:28:55Z
ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",83202,Jupyter Notebook,19725,2026-01-21T01:56:36Z
weekly,https://github.com/ruanyf/weekly,科技爱好者周刊，每周五发布,82747,Unknown,3839,2026-01-21T02:25:48Z
awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,79340,Unknown,6855,2026-01-21T02:15:54Z
Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,78657,Python,11468,2026-01-21T01:58:27Z
